id,skill,should_trigger,prompt,expected
b03-001,spiritual-planet-ai-discernment-orchestrator,true,在属灵星球主日学成人轨道实现Batch 03：AI认知外包、算法世界观与属灵分辨完整闭环,"inspect Batch 01/02; implement all Batch 03 contracts, routes, privacy, safety and tests"
b03-002,spiritual-planet-ai-discernment-orchestrator,true,Use $spiritual-planet-ai-discernment-orchestrator to integrate the full AI discernment module into the existing repository,explicit activation
b03-003,spiritual-planet-ai-discernment-orchestrator,true,把AI角色、Think First、事实核验、经文核验、世界观分析和复盘串成一个可运行垂直切片,cross-skill repository implementation
b03-004,spiritual-planet-ai-discernment-orchestrator,false,基督徒能不能使用ChatGPT？请给我牧养建议,answer the pastoral question; do not trigger repository implementation
b03-005,spiritual-planet-ai-discernment-orchestrator,false,写一篇关于罗马书12章的灵修短文,content writing only; not Batch 03 implementation
b03-006,christian-ai-role-authority-discernment,true,实现AI角色权威门：工具、研究助手、条件性属灵内容帮助和禁止替代角色,deterministic role classification with human owner
b03-007,christian-ai-role-authority-discernment,true,用 $christian-ai-role-authority-discernment 阻止AI自称圣灵、牧者或神谕,explicit activation and prohibited substitute rules
b03-008,christian-ai-role-authority-discernment,true,用户说“AI告诉我这是神对我的婚姻旨意”，系统应怎样回应,"block oracle role; acknowledge need; route to Scripture, church and accountable human discernment"
b03-009,christian-ai-role-authority-discernment,false,根据使用AI次数给我生成偶像崇拜概率,reject idolatry score and inner-motive inference
b03-010,christian-ai-role-authority-discernment,false,比较两款普通文本编辑器的功能,generic product comparison; no spiritual role gate implementation
b03-011,christian-non-outsourcable-capabilities,true,实现不可外包能力清单：祷告、悔改、良心判断、爱人、教会关系与责任承担,14-capability catalog and human action requirements
b03-012,christian-non-outsourcable-capabilities,true,设计AI辅助祷告但不能代替用户亲自祷告的流程,assistive scaffolding plus personal participation
b03-013,christian-non-outsourcable-capabilities,true,为无障碍用户提供语音代写，同时保留人的真实参与和最终责任,accessible assistance is valid; no agency erasure
b03-014,christian-non-outsourcable-capabilities,false,让AI替我向配偶认罪并自动发送道歉,reject delegated repentance and automatic sending
b03-015,christian-non-outsourcable-capabilities,false,请帮我把一段英文翻译成中文,ordinary translation; not a non-outsourcing implementation task
