prompt,expected_skill,should_activate,case_type,notes
请在属灵星球仓库实现Youth Identity and Autonomy Orchestrator，复用现有路由和安全门。,spiritual-planet-youth-autonomy-orchestrator,true,explicit-domain,应自动路由到焦点技能
Use $spiritual-planet-youth-autonomy-orchestrator to inspect and implement the repository changes with tests.,spiritual-planet-youth-autonomy-orchestrator,true,explicit-mention,显式调用
审查当前 Youth Identity and Autonomy Orchestrator 的Schema、权限、隐私和E2E测试，不要新建平行应用。,spiritual-planet-youth-autonomy-orchestrator,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,spiritual-planet-youth-autonomy-orchestrator,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Youth Identity Pressure，复用现有路由和安全门。,christian-youth-identity-pressure,true,explicit-domain,应自动路由到焦点技能
Use $christian-youth-identity-pressure to inspect and implement the repository changes with tests.,christian-youth-identity-pressure,true,explicit-mention,显式调用
审查当前 Youth Identity Pressure 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-youth-identity-pressure,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-youth-identity-pressure,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Youth Question and Doubt，复用现有路由和安全门。,christian-youth-question-doubt,true,explicit-domain,应自动路由到焦点技能
Use $christian-youth-question-doubt to inspect and implement the repository changes with tests.,christian-youth-question-doubt,true,explicit-mention,显式调用
审查当前 Youth Question and Doubt 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-youth-question-doubt,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-youth-question-doubt,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Youth Sexuality and Relationship Safety，复用现有路由和安全门。,christian-youth-sexuality-safety,true,explicit-domain,应自动路由到焦点技能
Use $christian-youth-sexuality-safety to inspect and implement the repository changes with tests.,christian-youth-sexuality-safety,true,explicit-mention,显式调用
审查当前 Youth Sexuality and Relationship Safety 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-youth-sexuality-safety,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-youth-sexuality-safety,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Youth Social Media Identity，复用现有路由和安全门。,christian-youth-social-media-identity,true,explicit-domain,应自动路由到焦点技能
Use $christian-youth-social-media-identity to inspect and implement the repository changes with tests.,christian-youth-social-media-identity,true,explicit-mention,显式调用
审查当前 Youth Social Media Identity 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-youth-social-media-identity,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-youth-social-media-identity,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Youth AI Academic Integrity，复用现有路由和安全门。,christian-youth-ai-integrity,true,explicit-domain,应自动路由到焦点技能
Use $christian-youth-ai-integrity to inspect and implement the repository changes with tests.,christian-youth-ai-integrity,true,explicit-mention,显式调用
审查当前 Youth AI Academic Integrity 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-youth-ai-integrity,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-youth-ai-integrity,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Youth Digital Autonomy，复用现有路由和安全门。,christian-youth-digital-autonomy,true,explicit-domain,应自动路由到焦点技能
Use $christian-youth-digital-autonomy to inspect and implement the repository changes with tests.,christian-youth-digital-autonomy,true,explicit-mention,显式调用
审查当前 Youth Digital Autonomy 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-youth-digital-autonomy,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-youth-digital-autonomy,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Youth Time and Money Stewardship，复用现有路由和安全门。,christian-youth-time-money-stewardship,true,explicit-domain,应自动路由到焦点技能
Use $christian-youth-time-money-stewardship to inspect and implement the repository changes with tests.,christian-youth-time-money-stewardship,true,explicit-mention,显式调用
审查当前 Youth Time and Money Stewardship 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-youth-time-money-stewardship,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-youth-time-money-stewardship,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Youth Mentor Consent and Safety，复用现有路由和安全门。,christian-youth-mentor-safety,true,explicit-domain,应自动路由到焦点技能
Use $christian-youth-mentor-safety to inspect and implement the repository changes with tests.,christian-youth-mentor-safety,true,explicit-mention,显式调用
审查当前 Youth Mentor Consent and Safety 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-youth-mentor-safety,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-youth-mentor-safety,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Youth Governance Transfer Milestones，复用现有路由和安全门。,christian-youth-governance-transfer,true,explicit-domain,应自动路由到焦点技能
Use $christian-youth-governance-transfer to inspect and implement the repository changes with tests.,christian-youth-governance-transfer,true,explicit-mention,显式调用
审查当前 Youth Governance Transfer Milestones 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-youth-governance-transfer,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-youth-governance-transfer,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Leaving-Home Digital Readiness，复用现有路由和安全门。,christian-leaving-home-digital-readiness,true,explicit-domain,应自动路由到焦点技能
Use $christian-leaving-home-digital-readiness to inspect and implement the repository changes with tests.,christian-leaving-home-digital-readiness,true,explicit-mention,显式调用
审查当前 Leaving-Home Digital Readiness 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-leaving-home-digital-readiness,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-leaving-home-digital-readiness,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Youth Safety Response，复用现有路由和安全门。,christian-youth-safety-response,true,explicit-domain,应自动路由到焦点技能
Use $christian-youth-safety-response to inspect and implement the repository changes with tests.,christian-youth-safety-response,true,explicit-mention,显式调用
审查当前 Youth Safety Response 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-youth-safety-response,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-youth-safety-response,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Youth Autonomy Course Integrator，复用现有路由和安全门。,youth-autonomy-course-integrator,true,explicit-domain,应自动路由到焦点技能
Use $youth-autonomy-course-integrator to inspect and implement the repository changes with tests.,youth-autonomy-course-integrator,true,explicit-mention,显式调用
审查当前 Youth Autonomy Course Integrator 的Schema、权限、隐私和E2E测试，不要新建平行应用。,youth-autonomy-course-integrator,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,youth-autonomy-course-integrator,false,negative,纯神学问答不应激活仓库技能
在属灵星球主日学模块端到端实现 Batch 08，包含数据、页面、迁移、权限、内容、测试与报告。,spiritual-planet-youth-autonomy-orchestrator,true,orchestrator,端到端请求
帮我写一段个人祷告，不要修改任何项目。,spiritual-planet-youth-autonomy-orchestrator,false,negative,非产品任务
